model,frac,rmse,r2
OLS,0.01,82216.57983407204,0.7266371569088841
OLS,0.02,45424.70154558904,0.9165541323054743
OLS,0.05,72198.02758383384,0.7891996459878788
OLS,0.1,39716.2021517369,0.9362094869679664
OLS,0.2,39176.268135624094,0.9379321364341465
OLS,0.4,40427.38901396959,0.933904474950048
OLS,0.8,40044.08286064313,0.9351518826081563
OLS+phys,0.01,44586.485426281346,0.9196053498077262
OLS+phys,0.02,43123.92346735895,0.9247931838993708
OLS+phys,0.05,41312.30886437525,0.9309792610039721
OLS+phys,0.1,41334.39863283955,0.9309054302352376
OLS+phys,0.2,40139.98921297698,0.9348408856429447
OLS+phys,0.4,40222.4183489707,0.9345729969663609
OLS+phys,0.8,39805.305266288946,0.9359229384552294
XGB,0.01,54087.57580073265,0.881691575050354
XGB,0.02,34139.375506883545,0.95286625623703
XGB,0.05,28361.069655427313,0.9674713611602783
XGB,0.1,27980.244459260895,0.9683390855789185
XGB,0.2,20028.244855703157,0.9837779402732849
XGB,0.4,20367.48310420313,0.9832237362861633
XGB,0.8,20732.233454213274,0.9826174974441528
XGB+phys,0.01,37785.59471544679,0.9422605037689209
XGB+phys,0.02,36209.239041990375,0.9469776153564453
XGB+phys,0.05,30410.96539079284,0.9625991582870483
XGB+phys,0.1,25432.171122418942,0.9738430380821228
XGB+phys,0.2,24059.31071331845,0.9765907526016235
XGB+phys,0.4,19487.994252872715,0.9846412539482117
XGB+phys,0.8,19153.57637622802,0.9851638674736023
